subAU,year,value,ens,scen,rcp
rus1_sz5,2075,0.23162022030361754,ens1,Pol,2p6
rus1_sz2,2076,0.3521214407077563,ens1,Pol,2p6
rus1_sz3,2076,0.4749624017623636,ens1,Pol,2p6
rus1_sz4,2076,0.4749624017623636,ens1,Pol,2p6
rus1_sz5,2076,0.21673916053642414,ens1,Pol,2p6
rus1_sz2,2077,0.3279451903637315,ens1,Pol,2p6
rus1_sz3,2077,0.44235203328856093,ens1,Pol,2p6
rus1_sz4,2077,0.44235203328856093,ens1,Pol,2p6
rus1_sz5,2077,0.20185810076923072,ens1,Pol,2p6
rus1_sz2,2078,0.30376894001970667,ens1,Pol,2p6
rus1_sz3,2078,0.4097416648147582,ens1,Pol,2p6
rus1_sz4,2078,0.4097416648147582,ens1,Pol,2p6
rus1_sz5,2078,0.1869770410020373,ens1,Pol,2p6
rus1_sz2,2079,0.2795926896756819,ens1,Pol,2p6
rus1_sz3,2079,0.3771312963409556,ens1,Pol,2p6
rus1_sz4,2079,0.3771312963409556,ens1,Pol,2p6
rus1_sz5,2079,0.1720959812348439,ens1,Pol,2p6
rus1_sz2,2080,0.2554164393316571,ens1,Pol,2p6
rus1_sz3,2080,0.34452092786715294,ens1,Pol,2p6
rus1_sz4,2080,0.34452092786715294,ens1,Pol,2p6
rus1_sz5,2080,0.1572149214676505,ens1,Pol,2p6
rus1_sz2,2081,0.2391709732351016,ens1,Pol,2p6
rus1_sz3,2081,0.3226080742236484,ens1,Pol,2p6
rus1_sz4,2081,0.3226080742236484,ens1,Pol,2p6
rus1_sz5,2081,0.1472154489072373,ens1,Pol,2p6
rus1_sz2,2082,0.22292550713854623,ens1,Pol,2p6
rus1_sz3,2082,0.3006952205801439,ens1,Pol,2p6
rus1_sz4,2082,0.3006952205801439,ens1,Pol,2p6
rus1_sz5,2082,0.13721597634682417,ens1,Pol,2p6
rus1_sz2,2083,0.20668004104199084,ens1,Pol,2p6
rus1_sz3,2083,0.27878236693663944,ens1,Pol,2p6
