year,ens,scen,rcp,value
2022,ens4,Ref,8p5,5.737369554831933
2022,ens5,Pol,2p6,5.737398202647058
2022,ens5,Ref,2p6,5.737469822184874
2022,ens5,Ref,8p5,5.737441174369748
2022,ens6,Pol,2p6,5.737555765630251
2022,ens6,Ref,2p6,5.7376369344397755
2022,ens6,Ref,8p5,5.73757486417367
2022,ens7,Pol,2p6,5.737441174369748
2022,ens7,Ref,2p6,5.737522343179272
2022,ens7,Ref,8p5,5.73753189245098
2022,ens8,Pol,2p6,5.737469822184874
2022,ens8,Ref,2p6,5.737555765630252
2022,ens8,Ref,8p5,5.737484146092438
2022,ens9,Pol,2p6,5.737474596820728
2022,ens9,Ref,2p6,5.737598737352942
2022,ens9,Ref,8p5,5.737512793907563
2023,ens1,Pol,2p6,5.733716958403361
2023,ens1,Ref,2p6,5.733774254033613
2023,ens1,Ref,8p5,5.733907943837535
2023,ens10,Pol,2p6,5.733053284019608
2023,ens10,Ref,2p6,5.733191748459384
2023,ens10,Ref,8p5,5.733148776736694
2023,ens11,Pol,2p6,5.733096255742296
2023,ens11,Ref,2p6,5.733191748459384
2023,ens11,Ref,8p5,5.73322039627451
2023,ens12,Pol,2p6,5.733096255742296
2023,ens12,Ref,2p6,5.733191748459384
2023,ens12,Ref,8p5,5.733191748459384
2023,ens13,Pol,2p6,5.733502099789916
2023,ens13,Ref,2p6,5.733597592507003
2023,ens13,Ref,8p5,5.733626240322129
2023,ens2,Pol,2p6,5.733731282310924
2023,ens2,Ref,2p6,5.733802901848739
2023,ens2,Ref,8p5,5.73373605694678
2023,ens3,Pol,2p6,5.733740831582633
2023,ens3,Ref,2p6,5.733864972114846
2023,ens3,Ref,8p5,5.734079830728292
2023,ens4,Pol,2p6,5.733635789593839
2023,ens4,Ref,2p6,5.733707409131653
2023,ens4,Ref,8p5,5.733502099789916
2023,ens5,Pol,2p6,5.733568944691878
2023,ens5,Ref,2p6,5.733640564229692
2023,ens5,Ref,8p5,5.733597592507003
2023,ens6,Pol,2p6,5.733769479397759
2023,ens6,Ref,2p6,5.7338554228431375
2023,ens6,Ref,8p5,5.733774254033613
2023,ens7,Pol,2p6,5.733621465686275
2023,ens7,Ref,2p6,5.733707409131653
2023,ens7,Ref,8p5,5.733721733039215
2023,ens8,Pol,2p6,5.733664437408965
2023,ens8,Ref,2p6,5.733745606218488
2023,ens8,Ref,8p5,5.733650113501401
2023,ens9,Pol,2p6,5.73365966277311
2023,ens9,Ref,2p6,5.733798127212885
2023,ens9,Ref,8p5,5.73369308522409
2024,ens1,Pol,2p6,5.729921122899159
2024,ens1,Ref,2p6,5.7299736438935565
2024,ens1,Ref,8p5,5.730135981512604
2024,ens10,Pol,2p6,5.729099885532213
2024,ens10,Ref,2p6,5.729252673879553
2024,ens10,Ref,8p5,5.729195378249299
2024,ens11,Pol,2p6,5.729157181162464
2024,ens11,Ref,2p6,5.729252673879553
2024,ens11,Ref,8p5,5.729290870966386
2024,ens12,Pol,2p6,5.729157181162464
2024,ens12,Ref,2p6,5.729252673879553
2024,ens12,Ref,8p5,5.729252673879553
2024,ens13,Pol,2p6,5.72965851792717
2024,ens13,Ref,2p6,5.729754010644258
2024,ens13,Ref,8p5,5.7297922077310925
2024,ens2,Pol,2p6,5.729940221442577
2024,ens2,Ref,2p6,5.730011840980392
2024,ens2,Ref,8p5,5.72993067217087
2024,ens3,Pol,2p6,5.729921122899159
2024,ens3,Ref,2p6,5.730054812703081
2024,ens3,Ref,8p5,5.730341290854342
2024,ens4,Pol,2p6,5.729820855546218
2024,ens4,Ref,2p6,5.729892475084033
2024,ens4,Ref,8p5,5.7296346447478985
2024,ens5,Pol,2p6,5.729739686736695
2024,ens5,Ref,2p6,5.7298113062745095
2024,ens5,Ref,8p5,5.729754010644258
2024,ens6,Pol,2p6,5.729983193165266
2024,ens6,Ref,2p6,5.730073911246499
2024,ens6,Ref,8p5,5.7299736438935565
2024,ens7,Pol,2p6,5.729801757002802
2024,ens7,Ref,2p6,5.729892475084033
2024,ens7,Ref,8p5,5.729911573627452
2024,ens8,Pol,2p6,5.729859052633054
2024,ens8,Ref,2p6,5.729935446806723
2024,ens8,Ref,8p5,5.729816080910364
2024,ens9,Pol,2p6,5.72984472872549
2024,ens9,Ref,2p6,5.72999751707283
2024,ens9,Ref,8p5,5.729873376540616
2025,ens1,Pol,2p6,5.726125287394958
2025,ens1,Ref,2p6,5.726173033753501
2025,ens1,Ref,8p5,5.726364019187676
2025,ens10,Pol,2p6,5.725146487044817
2025,ens10,Ref,2p6,5.72531359929972
2025,ens10,Ref,8p5,5.725241979761905
2025,ens11,Pol,2p6,5.725218106582633
2025,ens11,Ref,2p6,5.72531359929972
2025,ens11,Ref,8p5,5.725361345658263
2025,ens12,Pol,2p6,5.725218106582633
2025,ens12,Ref,2p6,5.72531359929972
2025,ens12,Ref,8p5,5.72531359929972
2025,ens13,Pol,2p6,5.725814936064427
2025,ens13,Ref,2p6,5.725910428781513
2025,ens13,Ref,8p5,5.725958175140056
2025,ens2,Pol,2p6,5.726149160574229
2025,ens2,Ref,2p6,5.726220780112044
2025,ens2,Ref,8p5,5.726125287394958
2025,ens3,Pol,2p6,5.7261014142156865
2025,ens3,Ref,2p6,5.7262446532913165
2025,ens3,Ref,8p5,5.726602750980393
2025,ens4,Pol,2p6,5.726005921498599
2025,ens4,Ref,2p6,5.726077541036415
2025,ens4,Ref,8p5,5.725767189705882
2025,ens5,Pol,2p6,5.725910428781513
2025,ens5,Ref,2p6,5.725982048319327
2025,ens5,Ref,8p5,5.725910428781513
2025,ens6,Pol,2p6,5.726196906932772
2025,ens6,Ref,2p6,5.72629239964986
2025,ens6,Ref,8p5,5.726173033753501
2025,ens7,Pol,2p6,5.725982048319327
2025,ens7,Ref,2p6,5.726077541036415
2025,ens7,Ref,8p5,5.7261014142156865
2025,ens8,Pol,2p6,5.726053667857143
2025,ens8,Ref,2p6,5.726125287394958
2025,ens8,Ref,8p5,5.725982048319327
2025,ens9,Pol,2p6,5.7260297946778715
2025,ens9,Ref,2p6,5.726196906932772
2025,ens9,Ref,8p5,5.726053667857143
2026,ens1,Pol,2p6,5.723924180266106
2026,ens1,Ref,2p6,5.723909856358544
2026,ens1,Ref,8p5,5.724067419341736
2026,ens10,Pol,2p6,5.722964478459384
2026,ens10,Ref,2p6,5.723198435616247
2026,ens10,Ref,8p5,5.723141139985994
2026,ens11,Pol,2p6,5.723045647268907
2026,ens11,Ref,2p6,5.723193660980392
2026,ens11,Ref,8p5,5.723236632703081
2026,ens12,Pol,2p6,5.723045647268907
